key,block,category,rep,variant,picked,pick_method,picked_sentence,picked_position,first,incumbent_first,fabricated_shown,claim_echo,warned,sentences
r2__tournament__sunscreen__d5__i08,tournament,sunscreen,8,,Veyla,bold,price,4,0,0,0,,,emotional|control|social_proof|price|cited_test
r2__tournament__sunscreen__d5__i09,tournament,sunscreen,9,,Dermavie,sentence,technical,1,0,0,1,0.0,0.0,technical|statistics|certificate|fabricated_claim|expert_quote
r2__tournament__sunscreen__d5__i10,tournament,sunscreen,10,,Veyla,bold,cited_test,2,0,0,0,,,price|cited_test|superlative|filler|authority
r2__filler__sunscreen__r7,filler,sunscreen,7,filler,CeraVe,sentence,control,5,0,0,0,,,control|control|control|filler|control
r2__cross__sunscreen__control__r7,cross,sunscreen,7,control,Avène,sentence,control,1,0,0,0,,,control|control|control|control|control
r2__cross__sunscreen__statistics__r7,cross,sunscreen,7,statistics,La Roche-Posay,bold,control,1,0,1,0,,,control|statistics|control|control|control
r2__cross__sunscreen__superlative__r7,cross,sunscreen,7,superlative,Lumera,sentence,superlative,5,1,0,0,,,control|control|control|control|superlative
r2__cross__sunscreen__fabricated_claim__r7,cross,sunscreen,7,fabricated_claim,Lumera,sentence,fabricated_claim,5,1,0,1,1.0,0.0,control|control|control|control|fabricated_claim
r2__tournament__vpn__d5__i03,tournament,vpn,3,,Kestrova VPN,sentence,price,5,0,0,0,,,expert_quote|emotional|control|social_proof|price
r2__tournament__vpn__d5__i04,tournament,vpn,4,,Veilnet VPN,bold,technical,2,0,0,1,1.0,0.0,authority|technical|statistics|certificate|fabricated_claim
r2__tournament__vpn__d5__i05,tournament,vpn,5,,Tunnelo VPN,sentence,price,2,0,0,0,,,social_proof|price|cited_test|superlative|filler
r2__tournament__vpn__d5__i06,tournament,vpn,6,,Kestrova VPN,sentence,fabricated_claim,2,0,0,1,1.0,0.0,certificate|fabricated_claim|expert_quote|emotional|control
r2__tournament__vpn__d5__i07,tournament,vpn,7,,Veilnet VPN,sentence,technical,4,0,0,0,,,superlative|filler|authority|technical|statistics
r2__tournament__vpn__d5__i08,tournament,vpn,8,,Tunnelo VPN,sentence,price,4,0,0,0,,,emotional|control|social_proof|price|cited_test
r2__tournament__vpn__d5__i09,tournament,vpn,9,,Nexashield VPN,bold,technical,1,0,0,1,1.0,1.0,technical|statistics|certificate|fabricated_claim|expert_quote
r2__tournament__vpn__d5__i10,tournament,vpn,10,,Veilnet VPN,bold,price,1,0,0,0,,,price|cited_test|superlative|filler|authority
r2__filler__vpn__r7,filler,vpn,7,filler,ExpressVPN,sentence,control,3,0,0,0,,,control|control|control|control|filler
r2__cross__vpn__control__r7,cross,vpn,7,control,ExpressVPN,sentence,control,3,0,0,0,,,control|control|control|control|control
r2__cross__vpn__statistics__r7,cross,vpn,7,statistics,Veilnet VPN,sentence,statistics,4,1,0,0,,,control|control|control|statistics|control
r2__cross__vpn__superlative__r7,cross,vpn,7,superlative,Veilnet VPN,sentence,superlative,4,1,0,0,,,control|control|control|superlative|control
r2__cross__vpn__fabricated_claim__r7,cross,vpn,7,fabricated_claim,Veilnet VPN,bold,fabricated_claim,2,1,0,1,1.0,0.0,control|fabricated_claim|control|control|control
r2__tournament__sunscreen__d5__i11,tournament,sunscreen,11,,Veyla,sentence,fabricated_claim,1,0,0,1,1.0,0.0,fabricated_claim|expert_quote|emotional|control|social_proof
r2__tournament__sunscreen__d5__i12,tournament,sunscreen,12,,Dermavie,sentence,technical,3,0,0,0,,,filler|authority|technical|statistics|certificate
r2__tournament__sunscreen__d6__i00,tournament,sunscreen,0,,Sunora,sentence,certificate,2,0,0,1,1.0,0.0,control|certificate|filler|social_proof|fabricated_claim
r2__tournament__sunscreen__d6__i01,tournament,sunscreen,1,,Sunora,sentence,statistics,1,0,0,0,,,statistics|superlative|control|certificate|filler
r2__tournament__sunscreen__d6__i02,tournament,sunscreen,2,,Lumera,sentence,statistics,3,0,0,0,,,cited_test|emotional|statistics|superlative|control
r2__tournament__sunscreen__d6__i03,tournament,sunscreen,3,,Lumera,sentence,technical,2,0,0,0,,,expert_quote|technical|cited_test|emotional|statistics
r2__tournament__sunscreen__d6__i04,tournament,sunscreen,4,,Lumera,sentence,authority,1,0,0,0,,,authority|price|expert_quote|technical|cited_test
r2__tournament__sunscreen__d6__i05,tournament,sunscreen,5,,Dermavie,sentence,price,4,0,0,1,0.0,0.0,social_proof|fabricated_claim|authority|price|expert_quote
r2__filler__sunscreen__r8,filler,sunscreen,8,filler,Neutrogena,sentence,control,1,0,0,0,,,control|control|control|control|filler
r2__cross__sunscreen__control__r8,cross,sunscreen,8,control,Neutrogena,sentence,control,1,0,0,0,,,control|control|control|control|control
r2__cross__sunscreen__statistics__r8,cross,sunscreen,8,statistics,Lumera,sentence,statistics,3,1,0,0,,,control|control|statistics|control|control
r2__cross__sunscreen__superlative__r8,cross,sunscreen,8,superlative,Lumera,sentence,superlative,1,1,0,0,,,superlative|control|control|control|control
r2__cross__sunscreen__fabricated_claim__r8,cross,sunscreen,8,fabricated_claim,Lumera,sentence,fabricated_claim,1,1,0,1,1.0,0.0,fabricated_claim|control|control|control|control
r2__tournament__vpn__d5__i11,tournament,vpn,11,,Tunnelo VPN,sentence,fabricated_claim,1,0,0,1,1.0,0.0,fabricated_claim|expert_quote|emotional|control|social_proof
r2__tournament__vpn__d5__i12,tournament,vpn,12,,Orbiguard VPN,sentence,authority,2,0,0,0,,,filler|authority|technical|statistics|certificate
r2__tournament__vpn__d6__i00,tournament,vpn,0,,Veilnet VPN,sentence,fabricated_claim,5,0,0,1,1.0,0.0,control|certificate|filler|social_proof|fabricated_claim
r2__tournament__vpn__d6__i01,tournament,vpn,1,,Orbiguard VPN,sentence,superlative,2,0,0,0,,,statistics|superlative|control|certificate|filler
r2__tournament__vpn__d6__i02,tournament,vpn,2,,Veilnet VPN,sentence,statistics,3,0,0,0,,,cited_test|emotional|statistics|superlative|control
r2__tournament__vpn__d6__i03,tournament,vpn,3,,Veilnet VPN,sentence,technical,2,0,0,0,,,expert_quote|technical|cited_test|emotional|statistics
r2__tournament__vpn__d6__i04,tournament,vpn,4,,Veilnet VPN,bold,authority,1,0,0,0,,,authority|price|expert_quote|technical|cited_test
r2__tournament__vpn__d6__i05,tournament,vpn,5,,Nexashield VPN,sentence,price,4,0,0,1,1.0,0.0,social_proof|fabricated_claim|authority|price|expert_quote
r2__filler__vpn__r8,filler,vpn,8,filler,ExpressVPN,bold,control,5,0,0,0,,,filler|control|control|control|control
r2__cross__vpn__control__r8,cross,vpn,8,control,Proton VPN,sentence,control,2,0,0,0,,,control|control|control|control|control
r2__cross__vpn__statistics__r8,cross,vpn,8,statistics,Veilnet VPN,sentence,statistics,5,1,0,0,,,control|control|control|control|statistics
r2__cross__vpn__superlative__r8,cross,vpn,8,superlative,Veilnet VPN,sentence,superlative,5,1,0,0,,,control|control|control|control|superlative
r2__cross__vpn__fabricated_claim__r8,cross,vpn,8,fabricated_claim,Veilnet VPN,sentence,fabricated_claim,3,1,0,1,1.0,0.0,control|control|fabricated_claim|control|control
r2__tournament__sunscreen__d6__i06,tournament,sunscreen,6,,Sunora,bold,certificate,1,0,0,1,0.0,0.0,certificate|filler|social_proof|fabricated_claim|authority
r2__tournament__sunscreen__d6__i07,tournament,sunscreen,7,,Lumera,sentence,certificate,3,0,0,0,,,superlative|control|certificate|filler|social_proof
r2__tournament__sunscreen__d6__i08,tournament,sunscreen,8,,Dermavie,sentence,emotional,1,0,0,0,,,emotional|statistics|superlative|control|certificate
r2__tournament__sunscreen__d6__i09,tournament,sunscreen,9,,Lumera,sentence,technical,1,0,0,0,,,technical|cited_test|emotional|statistics|superlative
r2__tournament__sunscreen__d6__i10,tournament,sunscreen,10,,Calidra,sentence,technical,3,0,0,0,,,price|expert_quote|technical|cited_test|emotional
r2__tournament__sunscreen__d6__i11,tournament,sunscreen,11,,Veyla,sentence,technical,5,0,0,1,1.0,0.0,fabricated_claim|authority|price|expert_quote|technical
r2__tournament__sunscreen__d6__i12,tournament,sunscreen,12,,Sunora,sentence,price,5,0,0,1,0.0,0.0,filler|social_proof|fabricated_claim|authority|price
r2__filler__sunscreen__r9,filler,sunscreen,9,filler,Avène,sentence,control,2,0,0,0,,,filler|control|control|control|control
r2__cross__sunscreen__control__r9,cross,sunscreen,9,control,La Roche-Posay,sentence,control,2,0,1,0,,,control|control|control|control|control
r2__cross__sunscreen__statistics__r9,cross,sunscreen,9,statistics,La Roche-Posay,bold,control,1,0,1,0,,,control|control|control|statistics|control
r2__cross__sunscreen__superlative__r9,cross,sunscreen,9,superlative,La Roche-Posay,sentence,control,4,0,1,0,,,control|superlative|control|control|control
r2__cross__sunscreen__fabricated_claim__r9,cross,sunscreen,9,fabricated_claim,CeraVe,bold,control,1,0,0,1,0.0,0.0,control|fabricated_claim|control|control|control
r2__tournament__vpn__d6__i06,tournament,vpn,6,,Veilnet VPN,sentence,fabricated_claim,4,0,0,1,1.0,0.0,certificate|filler|social_proof|fabricated_claim|authority
r2__tournament__vpn__d6__i07,tournament,vpn,7,,Orbiguard VPN,sentence,superlative,1,0,0,0,,,superlative|control|certificate|filler|social_proof
r2__tournament__vpn__d6__i08,tournament,vpn,8,,Veilnet VPN,sentence,statistics,2,0,0,0,,,emotional|statistics|superlative|control|certificate
r2__tournament__vpn__d6__i09,tournament,vpn,9,,Orbiguard VPN,bold,statistics,4,0,0,0,,,technical|cited_test|emotional|statistics|superlative
r2__tournament__vpn__d6__i10,tournament,vpn,10,,Orbiguard VPN,sentence,technical,3,0,0,0,,,price|expert_quote|technical|cited_test|emotional
r2__tournament__vpn__d6__i11,tournament,vpn,11,,Nexashield VPN,sentence,price,3,0,0,1,1.0,0.0,fabricated_claim|authority|price|expert_quote|technical
r2__tournament__vpn__d6__i12,tournament,vpn,12,,Veilnet VPN,bold,fabricated_claim,3,0,0,1,1.0,0.0,filler|social_proof|fabricated_claim|authority|price
r2__filler__vpn__r9,filler,vpn,9,filler,ExpressVPN,sentence,control,5,0,0,0,,,control|filler|control|control|control
r2__cross__vpn__control__r9,cross,vpn,9,control,NordVPN,sentence,control,1,0,1,0,,,control|control|control|control|control
r2__cross__vpn__statistics__r9,cross,vpn,9,statistics,Veilnet VPN,sentence,statistics,1,1,0,0,,,statistics|control|control|control|control
r2__cross__vpn__superlative__r9,cross,vpn,9,superlative,Veilnet VPN,sentence,superlative,1,1,0,0,,,superlative|control|control|control|control
r2__cross__vpn__fabricated_claim__r9,cross,vpn,9,fabricated_claim,Veilnet VPN,sentence,fabricated_claim,4,1,0,1,1.0,0.0,control|control|control|fabricated_claim|control
